Id,League,Team,TeamSlug,Mascot,MascotSlug,IsChampion,TwitterHandle
1,International,Buffalo Bisons,buffalo-bisons,Celery,celery,0,BisonsCelery
2,International,Charlotte Knights,charlotte-knights,Homer the Dragon,homer-the-dragon,0,
3,International,Columbus Clippers,columbus-clippers,LouSeal,louseal,1,ClippersLouSeal
4,International,Durham Bulls,durham-bulls,Wool E. Bull,wool-e-bull,0,WoolEBull
5,International,Gwinnett Braves,gwinnett-braves,Chopper,chopper,0,ChopperGBraves
6,International,Indianapolis Indians,indianapolis-indians,Rowdie,rowdie,0,RowdieBear
7,International,Lehigh Valley IronPigs,lehigh-valley-ironpigs,Hambone,hambone,0,Go_Hambone
8,International,Louisville Bats,louisville-bats,Buddy Bat,buddy-bat,0,buddybat
9,International,Norfolk Tides,norfolk-tides,Rip Tide,rip-tide,0,therealriptide
10,International,Pawtucket Red Sox,pawtucket-red-sox,Paws,paws,0,
11,International,Rochester Red Wings,rochester-red-wings,Spikes,spikes,0,SpikesAndMittsy
12,International,Scranton/WB RailRiders,scrantonwb-railriders,Quills,quills,0,
13,International,Syracuse Chiefs,syracuse-chiefs,Scooch,scooch,0,
14,International,Toledo Mud Hens,toledo-mud-hens,Muddy the Mud Hen,muddy-the-mud-hen,0,
15,Pacific Coast,Albuquerque Isotopes,albuquerque-isotopes,Orbit,orbit,0,Orbit_Isotopes
16,Pacific Coast,Colorado Springs Sky Sox,colorado-springs-sky-sox,Sox the Fox,sox-the-fox,0,
17,Pacific Coast,Fresno Grizzlies,fresno-grizzlies,Parker,parker,1,TheRealParkerB
18,Pacific Coast,Iowa Cubs,iowa-cubs,Cubbie Bear,cubbie-bear,0,
19,Pacific Coast,Las Vegas 51s,las-vegas-51s,Cosmo,cosmo,0,
20,Pacific Coast,Memphis Redbirds,memphis-redbirds,Rockey Redbird,rockey-redbird,0,
21,Pacific Coast,Nashville Sounds,nashville-sounds,Ozzie,ozzie,0,OzzieTheMascot
22,Pacific Coast,New Orleans Zephyrs,new-orleans-zephyrs,Boudreaux D. Nutria,boudreaux-d-nutria,0,
23,Pacific Coast,Oklahoma City RedHawks,oklahoma-city-redhawks,Cooper,cooper,0,
24,Pacific Coast,Omaha Storm Chasers,omaha-storm-chasers,Stormy,stormy,0,
25,Pacific Coast,Reno Aces,reno-aces,Archie,archie,0,archieaceball
26,Pacific Coast,Round Rock Express,round-rock-express,Spike,spike,0,Spike_RRE
27,Pacific Coast,Sacramento River Cats,sacramento-river-cats,Dinger,dinger,0,RCDinger
28,Pacific Coast,Salt Lake Bees,salt-lake-bees,Bumble,bumble,0,
29,Pacific Coast,Tacoma Rainiers,tacoma-rainiers,Rhubarb the Reindeer,rhubarb-the-reindeer,0,RainiersRhubarb
30,Pacific Coast,Tucson Padres,tucson-padres,Kino Bambino,kino-bambino,0,padresmascot
31,Eastern,Akron Aeros,akron-aeros,Orbit,orbit-2,0,AerosOrbit
32,Eastern,Altoona Curve,altoona-curve,Steamer,steamer,0,
33,Eastern,Binghamton Mets,binghamton-mets,Hickory and the Hot Dog Horse,hickory-and-the-hot-dog-horse,0,thehotdoghorse
34,Eastern,Bowie Baysox,bowie-baysox,Louie,louie,0,
35,Eastern,Erie SeaWolves,erie-seawolves,C. Wolf,c-wolf,1,
36,Eastern,Harrisburg Senators,harrisburg-senators,Rascal,rascal,0,sensrascal00
37,Eastern,New Britain Rock Cats,new-britain-rock-cats,Rocky,rocky,0,OfficialRocky9
38,Eastern,New Hampshire Fisher Cats,new-hampshire-fisher-cats,Fungo the Fisher Cat,fungo-the-fisher-cat,0,
39,Eastern,Portland Sea Dogs,portland-sea-dogs,Slugger the Sea Dog,slugger-the-sea-dog,0,Slugger_SeaDog
40,Eastern,Reading Fightin Phils,reading-fightin-phils,Crazy Hot Dog Vendor,crazy-hot-dog-vendor,0,CrazyHotDogVndr
41,Eastern,Richmond Flying Squirrels,richmond-flying-squirrels,Nutzy,nutzy,0,
42,Eastern,Trenton Thunder,trenton-thunder,Boomer,boomer,0,
43,Southern,Birmingham Barons,birmingham-barons,Babe Ruff,babe-ruff,0,
44,Southern,Chattanooga Lookouts,chattanooga-lookouts,Looie the Lookout,looie-the-lookout,0,
45,Southern,Huntsville Stars,huntsville-stars,Homer the Pole Cat,homer-the-pole-cat,0,homer_polecat
46,Southern,Jackson Generals,jackson-generals,Chimpy,chimpy,0,
47,Southern,Jacksonville Suns,jacksonville-suns,Southpaw,southpaw,0,
48,Southern,Mississippi Braves,mississippi-braves,Trusty,trusty,0,
49,Southern,Mobile BayBears,mobile-baybears,Teddy,teddy,0,
50,Southern,Montgomery Biscuits,montgomery-biscuits,Big Mo.,big-mo,0,
51,Southern,Pensacola Blue Wahoos,pensacola-blue-wahoos,Kazoo,kazoo,1,
52,Southern,Tennessee Smokies,tennessee-smokies,Slugger,slugger,0,
53,Texas,Arkansas Travelers,arkansas-travelers,Shelly the Horse,shelly-the-horse,0,
54,Texas,Corpus Christi Hooks,corpus-christi-hooks,Rusty Hook,rusty-hook,0,
55,Texas,Frisco RoughRiders,frisco-roughriders,Deuce,deuce,0,
56,Texas,Midland RockHounds,midland-rockhounds,Rocky RockHound,rocky-rockhound,0,
57,Texas,NW Arkansas Naturals,nw-arkansas-naturals,Sinker the Lake Creature,sinker-the-lake-creature,0,
58,Texas,San Antonio Missions,san-antonio-missions,Ballapeno,ballapeno,1,Ballapeno
59,Texas,Springfield Cardinals,springfield-cardinals,Louie,louie-2,0,
60,Texas,Tulsa Drillers,tulsa-drillers,Hornsby,hornsby,0,Therealhornsby
61,California,Bakersfield Blaze,bakersfield-blaze,Torch,torch,0,
62,California,High Desert Mavericks,high-desert-mavericks,Wooly Bully,wooly-bully,0,woolybullymavs
63,California,Inland Empire 66ers,inland-empire-66ers,Bernie,bernie,0,
64,California,Lake Elsinore Storm,lake-elsinore-storm,Thunder,thunder,0,ThundertheDog
65,California,Lancaster JetHawks,lancaster-jethawks,KaBoom!,kaboom,0,
66,California,Modesto Nuts,modesto-nuts,Wally the Walnut,wally-the-walnut,0,
67,California,Rancho Cuca. Quakes,rancho-cuca-quakes,Tremor,tremor,0,
68,California,San Jose Giants,san-jose-giants,Gigante,gigante,1,
69,California,Stockton Ports,stockton-ports,Splash,splash,0,
70,California,Visalia Rawhide,visalia-rawhide,Tipper T. Bull,tipper-t-bull,0,
71,Carolina,Carolina Mudcats,carolina-mudcats,Muddy the Mudcat,muddy-the-mudcat,0,muddythemudcat
72,Carolina,Frederick Keys,frederick-keys,Keyote,keyote,0,
73,Carolina,Lynchburg Hillcats,lynchburg-hillcats,Southpaw,southpaw-2,0,
74,Carolina,Myrtle Beach Pelicans,myrtle-beach-pelicans,Splash Pelican,splash-pelican,1,SplashPelican
75,Carolina,Potomac Nationals,potomac-nationals,Uncle Slam,uncle-slam,0,
76,Carolina,Salem Red Sox,salem-red-sox,Mugsy,mugsy,0,SalemSoxMugsy
77,Carolina,Wilmington Blue Rocks,wilmington-blue-rocks,Rocky Bluewinkle,rocky-bluewinkle,0,
78,Carolina,Winston-Salem Dash,winston-salem-dash,Bolt,bolt,0,
79,Florida State,Bradenton Marauders,bradenton-marauders,Marty the Marauder,marty-the-marauder,0,
80,Florida State,Brevard County Manatees,brevard-county-manatees,Manny the Manatee,manny-the-manatee,0,manny_manatee
81,Florida State,Charlotte Stone Crabs,charlotte-stone-crabs,Stoney,stoney,0,
82,Florida State,Clearwater Threshers,clearwater-threshers,Phinley,phinley,1,PhinleyThresher
83,Florida State,Daytona Cubs,daytona-cubs,Cubby,cubby,0,DCubsCubbysCrew
84,Florida State,Dunedin Blue Jays,dunedin-blue-jays,D-Jay,d-jay,0,djaybluejay
85,Florida State,Fort Myers Miracle,fort-myers-miracle,Miss-A-Miracle,miss-a-miracle,0,
86,Florida State,Jupiter Hammerheads,jupiter-hammerheads,Hamilton R. Head,hamilton-r-head,0,
87,Florida State,Lakeland Flying Tigers,lakeland-flying-tigers,Ace,ace,0,
88,Florida State,Palm Beach Cardinals,palm-beach-cardinals,Robbie the Redbird,robbie-the-redbird,0,
89,Florida State,St. Lucie Mets,st-lucie-mets,Klutch,klutch,0,Klutch_STLMets
90,Florida State,Tampa Yankees,tampa-yankees,Blue,blue,0,Blue_TYMascot
91,Midwest,Beloit Snappers,beloit-snappers,Snappy D. Turtle,snappy-d-turtle,0,
92,Midwest,Bowling Green Hot Rods,bowling-green-hot-rods,Roscoe the Grease Monkey,roscoe-the-grease-monkey,0,
93,Midwest,Burlington Bees,burlington-bees,Buzz,buzz,0,
94,Midwest,Cedar Rapids Kernels,cedar-rapids-kernels,Mr. Shucks,mr-shucks,0,
95,Midwest,Clinton LumberKings,clinton-lumberkings,Louie The LumberKing,louie-the-lumberking,0,
96,Midwest,Dayton Dragons,dayton-dragons,Heater,heater,0,
